id;tracking_code;date;details;invoice_id
1;Jewelery cutting-edge;2019-11-21T00:36:20;Hat;1
2;supply-chains magenta;2019-11-21T05:02:36;24/7;2
3;Gloves sky blue Oklahoma;2019-11-20T22:13:42;Tasty Concrete Chips Exclusive;3
4;Buckinghamshire capability zero tolerance;2019-11-21T07:02:06;Personal Loan Account;4
5;paradigms Home;2019-11-20T23:38:19;deposit Canadian Dollar Lebanon;5
6;Designer Persistent;2019-11-20T15:47:21;navigate;6
7;Re-contextualized;2019-11-20T12:38:42;Point Orchestrator;7
8;Solomon Islands Licensed;2019-11-20T11:52:23;installation;8
9;Argentine Peso;2019-11-20T11:19:11;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-11-21T03:44:08;Yen synthesize Creative;10
