id;placed_date;status;code;invoice_id;customer
1;2019-11-20T20:39:44;CANCELLED;Quality-focused;49724;capability zero tolerance Computers
2;2019-11-20T22:54:19;COMPLETED;Granite Berkshire Designer;24205;Bulgarian Lev navigate
3;2019-11-21T07:49:53;PENDING;invoice withdrawal;53577;Licensed hacking installation
4;2019-11-21T09:03:29;PENDING;Future-proofed deposit Sausages;69093;synthesize Creative
5;2019-11-21T10:14:03;CANCELLED;Enhanced deposit parsing;55520;Equatorial Guinea Vision-oriented
6;2019-11-21T11:18:00;PENDING;cross-media;72595;Internal AI optical
7;2019-11-20T22:07:33;PENDING;Tools Unbranded;66350;Home Gloves Latvia
8;2019-11-20T20:55:45;CANCELLED;Networked;32539;navigate
9;2019-11-20T21:56:37;COMPLETED;turn-key dedicated;24398;Strategist target
10;2019-11-20T16:07:32;PENDING;Cambridgeshire white sensor;28077;Shoes deposit
